#
# Generated by M. Cushing, Tue Oct 17 10:03:29 2017
#
# Line list for the H2 mode of iSHELL.
#
#==============================================================================================
#Order   | Vacuum Wavelength   | Species           | Fit Window    | Fit Type   | Fit N Terms
#        | (microns)           |                   | (Angstroms)   |            |            
#==============================================================================================
 299     |  1.74066540         |         Ar I *    |  2.0          | G          | 5          
 299     |  1.74090754         |           Th I    |  1.8          | G          | 5          
 299     |    1.742352         |          Ar II    |  2.0          | G          | 5          
 299     |    1.746704         |          Th II    |  2.0          | G          | 5          
 300     |    1.738040         |           Th I    |  1.0          | G          | 5          
 300     |    1.738461         |          Ar II    |  0.8          | G          | 5          
 300     |  1.73853476         |           Th I    |  1.0          | G          | 5          
 300     |  1.73866530         |           Th I    |  2.0          | G          | 5          
 300     |  1.73901065         |           Th I    |  2.0          | G          | 5          
 300     |    1.739896         |          Ar II    |  2.0          | G          | 5          
 300     |  1.74066540         |         Ar I *    |  2.0          | G          | 5          
 300     |  1.74090754         |           Th I    |  1.5          | G          | 5          
 300     |    1.742352         |          Ar II    |  2.0          | G          | 5          
 301     |   1.7300831         |         Ar I *    |  2.0          | G          | 5          
 301     |  1.73123846         |           Th I    |  2.0          | G          | 5          
 301     |    1.732002         |           Ar I    |  1.0          | G          | 5          
 301     |    1.733573         |                   |  0.6          | G          | 5          
 302     |    1.726633         |           Th I    |  1.0          | G          | 5          
 302     |  1.72688749         |           Th I    |  2.0          | G          | 5          
 302     |   1.7300831         |         Ar I *    |  2.0          | G          | 5          
 302     |  1.73123846         |           Th I    |  2.0          | G          | 5          
 303     |    1.718398         |           Ar I    |  1.0          | G          | 5          
 303     |  1.72129217         |          Th II    |  1.5          | G          | 5          
 303     |  1.72303654         |           Th I    |  0.8          | G          | 5          
 304     |  1.71388351         |           Th I    |  1.5          | G          | 5          
 304     |  1.71400079         |           Th I    |  1.5          | G          | 5          
 304     |    1.714347         |          Ar II    |  2.0          | G          | 5          
 304     |   1.7147763         |                   |  1.5          | G          | 5          
 304     |    1.718398         |           Ar I    |  0.8          | G          | 5          
 304     |  1.72129217         |          Th II    |  2.0          | G          | 5          
 305     |  1.70804047         |           Th I    |  2.0          | G          | 5          
 305     |    1.709164         |          Ar II    |  2.0          | G          | 5          
 305     |   1.7092997         |           Th I    |  2.0          | G          | 5          
 305     |   1.7118210         |           Th I    |  2.0          | G          | 5          
 305     |  1.71259842         |           Th I    |  2.0          | G          | 5          
 305     |  1.71388351         |           Th I    |  1.5          | G          | 5          
 305     |  1.71400079         |           Th I    |  1.5          | G          | 5          
 306     |    1.707242         |          Ar II    |  2.0          | G          | 5          
 306     |  1.70834561         |           Th I    |  2.0          | G          | 5          
 307     |  1.70093386         |           Th I    |  1.0          | G          | 5          
 309     |  1.68646988         |           Ar I    |  2.0          | G          | 5          
 309     |  1.68839082         |          Th II    |  1.5          | G          | 5          
 309     |  1.68946809         |          Th II    |  2.0          | G          | 5          
 309     |  1.69452121         |           Ar I    |  2.0          | G          | 5          
 310     |  1.68255237         |           Th I    |  2.0          | G          | 5          
 310     |   1.6857228         |           Th I    |  2.0          | G          | 5          
 310     |  1.68646988         |           Ar I    |  2.0          | G          | 5          
 311     |  1.67446481         |           Ar I    |  2.0          | G          | 5          
 311     |  1.67530188         |           Th I    |  2.0          | G          | 5          
 311     |  1.67731283         |           Th I    |  2.0          | G          | 5          
 312     |  1.67170001         |           Th I    |  2.0          | G          | 5          
 312     |  1.67446481         |           Ar I    |  2.0          | G          | 5          
 312     |  1.67731283         |           Th I    |  2.0          | G          | 5          
 315     |  1.65537824         |         Ar I *    |  1.5          | G          | 5          
 315     |  1.65549108         |         Ar I *    |  1.0          | G          | 5          
 315     |  1.65923525         |           Th I    |  2.0          | G          | 5          
 315     |  1.66038887         |           Th I    |  2.0          | G          | 5          
 316     |   1.6542908         |           Th I    |  2.0          | G          | 5          
 316     |  1.65449369         |           Th I    |  2.0          | G          | 5          
 316     |  1.65537824         |         Ar I *    |  1.5          | G          | 5          
 316     |  1.65549108         |         Ar I *    |  1.0          | G          | 5          
 317     |  1.64410689         |           Th I    |  2.0          | G          | 5          
 317     |    1.648881         |  Th II / ThIII    |  2.0          | G          | 5          
 317     |    1.649855         |          Ar II    |  2.0          | G          | 5          
