#
# Generated by M. Cushing, Wed Oct 18 13:54:48 2017
#
# Line list for the J0 mode of iSHELL.
#
#==============================================================================================
#Order   | Vacuum Wavelength   | Species           | Fit Window    | Fit Type   | Fit N Terms
#        | (microns)           |                   | (Angstroms)   |            |            
#==============================================================================================
 457     |  1.16206397         |           Th I    |  2.0          | G          | 5          
 457     |  1.16351390         |          Th II    |  0.5          | G          | 5          
 457     |  1.16377865         |           Th I    |  2.0          | G          | 5          
 458     |  1.15931256         |           Th I    |  2.0          | G          | 5          
 458     |  1.15991584         |           Th I    |  2.0          | G          | 5          
 458     |  1.16057662         |           Th I    |  2.0          | G          | 5          
 458     |  1.16086454         |           Th I    |  2.0          | G          | 5          
 458     |  1.16130884         |           Th I    |  1.0          | G          | 5          
 458     |  1.16206397         |           Th I    |  2.0          | G          | 5          
 459     |  1.15746465         |           Th I    |  2.0          | G          | 5          
 459     |  1.15786836         |           Th I    |  2.0          | G          | 5          
 459     |   1.1582284         |         Ar I *    |  1.0          | G          | 5          
 459     |  1.15835605         |         Ar I *    |  1.0          | G          | 5          
 459     |  1.15931256         |           Th I    |  2.0          | G          | 5          
 460     |  1.15604981         |          Th II    |  1.0          | G          | 5          
 460     |  1.15613766         |           Th I    |  0.6          | G          | 5          
 460     |  1.15746465         |           Th I    |  2.0          | G          | 5          
 461     |  1.15296125         |           Th I    |  0.5          | G          | 5          
 461     |  1.15300530         |             Th    |  0.5          | G          | 5          
 462     |  1.15053305         |           Th I    |  1.0          | G          | 5          
 462     |  1.15131732         |           Th I    |  2.0          | G          | 5          
 462     |  1.15147099         |           Th I    |  1.0          | G          | 5          
 462     |  1.15152107         |           Th I    |  0.5          | G          | 5          
 462     |  1.15181128         |           Th I    |  2.0          | G          | 5          
 462     |  1.15196063         |           Th I    |  2.0          | G          | 5          
 463     |  1.14930296         |           Th I    |  1.0          | G          | 5          
 464     |  1.14681767         |           Th I    |  1.5          | G          | 5          
 464     |  1.14717350         |           Th I    |  1.0          | G          | 5          
 464     |    1.147343         |          Ar II    |  2.0          | G          | 5          
 465     |  1.14328362         |           Th I    |  2.0          | G          | 5          
 465     |  1.14357216         |           Th I    |  2.0          | G          | 5          
 465     |  1.14449647         |           Ar I    |  2.0          | G          | 5          
 466     |  1.14204301         |           Th I    |  2.0          | G          | 5          
 466     |  1.14328362         |           Th I    |  2.0          | G          | 5          
 467     |  1.13870370         |           Th I    |  0.8          | G          | 5          
 467     |  1.13893518         |           Th I    |  2.0          | G          | 5          
 467     |  1.13968207         |           Ar I    |  2.0          | G          | 5          
 467     |  1.14017572         |         Ar I *    |  2.0          | G          | 5          
 468     |  1.13641759         |          Ar II    |  2.0          | G          | 5          
 468     |  1.13778355         |          Th II    |  2.0          | G          | 5          
 468     |  1.13893518         |           Th I    |  2.0          | G          | 5          
 469     |  1.13468215         |           Th I    |  1.0          | G          | 5          
 469     |  1.13550280         |           Th I    |  2.0          | G          | 5          
 469     |  1.13578225         |           Th I    |  2.0          | G          | 5          
 469     |  1.13641759         |          Ar II    |  2.0          | G          | 5          
 470     |  1.13247628         |           Th I    |  0.4          | G          | 5          
 470     |  1.13300718         |           Th I    |  2.0          | G          | 5          
 470     |  1.13335264         |           Th I    |  2.0          | G          | 5          
 470     |  1.13351456         |           Th I    |  1.0          | G          | 5          
 471     |  1.13068818         |           Th I    |  2.0          | G          | 5          
 471     |  1.13104067         |           Th I    |  2.0          | G          | 5          
 472     |  1.12794240         |           Th I    |  0.6          | G          | 5          
 472     |  1.12799015         |           Th I    |  0.6          | G          | 5          
 473     |  1.12514291         |           Ar I    |  2.0          | G          | 5          
 473     |  1.12565863         |          Ar II    |  2.0          | G          | 5          
 473     |  1.12612063         |          Th II    |  1.0          | G          | 5          
 473     |  1.12620654         |           Th I    |  1.0          | G          | 5          
 474     |  1.12333294         |           Th I    |  2.0          | G          | 5          
 474     |  1.12514291         |           Ar I    |  2.0          | G          | 5          
 475     |  1.12086461         |           Th I    |  2.0          | G          | 5          
 476     |  1.11889881         |           Th I    |  2.0          | G          | 5          
 476     |  1.11937763         |           Th I    |  1.0          | G          | 5          
 476     |  1.12086461         |           Th I    |  2.0          | G          | 5          
 477     |   1.1176336         |          Ar II    |  2.0          | G          | 5          
 477     |  1.11821603         |           Th I    |  2.0          | G          | 5          
 477     |  1.11889881         |           Th I    |  2.0          | G          | 5          
 478     |  1.11418677         |           Th I    |  1.5          | G          | 5          
 479     |  1.11218085         |         Ar I *    |  2.0          | G          | 5          
 479     |  1.11270649         |           Th I    |  1.0          | G          | 5          
 479     |  1.11277872         |           Th I    |  1.0          | G          | 5          
 479     |  1.11285866         |           Th I    |  1.0          | G          | 5          
 479     |  1.11313349         |           Th I    |  2.0          | G          | 5          
 479     |  1.11369262         |         Ar I *    |  2.0          | G          | 5          
 479     |  1.11418677         |           Th I    |  1.5          | G          | 5          
 480     |  1.11018236         |           Th I    |  2.0          | G          | 5          
 480     |  1.11048435         |           Th I    |  2.0          | G          | 5          
 480     |  1.11094924         |           Ar I    |  2.0          | G          | 5          
