#
# Generated by M. Cushing, Tue Oct 17 10:47:30 2017
#
# Line list for the K1 mode of iSHELL.
#
#==============================================================================================
#Order   | Vacuum Wavelength   | Species           | Fit Window    | Fit Type   | Fit N Terms
#        | (microns)           |                   | (Angstroms)   |            |            
#==============================================================================================
 233     |    2.221573         |           Ar I    |  1.0          | G          | 5          
 233     |   2.2270412         |          Th II    |  1.0          | G          | 5          
 234     |  2.20832076         |           Ar I    |  1.0          | G          | 5          
 234     |    2.210486         |          Ar II    |  1.0          | G          | 5          
 234     |  2.21096615         |           Th I    |  1.0          | G          | 5          
 234     |  2.21186524         |         Ar I *    |  1.0          | G          | 5          
 234     |    2.212129         |    Th I / Ar I    |  1.0          | G          | 5          
 234     |    2.221573         |           Ar I    |  1.0          | G          | 5          
 235     |    2.200347         |          Ar II    |  1.0          | G          | 5          
 235     |  2.20455774         |           Ar I    |  1.0          | G          | 5          
 235     |    2.205300         |          Ar II    |  1.0          | G          | 5          
 235     |   2.2079530         |           Th I    |  1.0          | G          | 5          
 235     |    2.210486         |          Ar II    |  1.0          | G          | 5          
 235     |  2.21096615         |           Th I    |  1.0          | G          | 5          
 235     |  2.21186524         |         Ar I *    |  1.0          | G          | 5          
 235     |    2.212129         |    Th I / Ar I    |  1.0          | G          | 5          
 236     |    2.193172         |           Th I    |  1.0          | G          | 5          
 236     |   2.1947810         |          Ar II    |  1.0          | G          | 5          
 236     |  2.19509339         |           Th I    |  1.0          | G          | 5          
 236     |   2.1965373         |           Th I    |  1.0          | G          | 5          
 236     |   2.1979070         |                   |  1.0          | G          | 5          
 236     |   2.1996726         |           Th I    |  1.0          | G          | 5          
 236     |    2.200347         |          Ar II    |  1.0          | G          | 5          
 236     |  2.20455774         |           Ar I    |  1.0          | G          | 5          
 237     |    2.185802         |          Th II    |  1.0          | G          | 5          
 237     |   2.1947810         |          Ar II    |  1.0          | G          | 5          
 237     |  2.19509339         |           Th I    |  1.0          | G          | 5          
 238     |  2.17185115         |           Th I    |  1.0          | G          | 5          
 238     |  2.17499305         |          Th II    |  1.0          | G          | 5          
 238     |    2.176205         |           Th I    |  1.0          | G          | 5          
 238     |   2.1770260         |          Ar II    |  1.0          | G          | 5          
 239     |  2.16349177         |           Th I    |  1.0          | G          | 5          
 239     |  2.16616587         |           Th I    |  1.0          | G          | 5          
 239     |   2.1675908         |           Ar I    |  1.0          | G          | 5          
 239     |  2.17499305         |          Th II    |  1.0          | G          | 5          
 239     |   2.1770260         |          Ar II    |  1.0          | G          | 5          
 240     |    2.156483         |          Th II    |  0.8          | G          | 5          
 240     |    2.160711         |          Ar II    |  1.0          | G          | 5          
 240     |   2.1611532         |           Th I    |  1.0          | G          | 5          
 240     |  2.16349177         |           Th I    |  1.0          | G          | 5          
 240     |  2.16431640         |                   |  1.0          | G          | 5          
 240     |  2.16616587         |           Th I    |  1.0          | G          | 5          
 240     |   2.1675908         |           Ar I    |  1.0          | G          | 5          
 241     |    2.150595         |          Ar II    |  1.0          | G          | 5          
 241     |    2.150995         |          ThIII    |  1.0          | G          | 5          
 242     |   2.1380941         |           Th I    |  1.0          | G          | 5          
 242     |   2.1412592         |           Th I    |  1.0          | G          | 5          
 242     |    2.142106         |           Th I    |  0.6          | G          | 5          
 242     |    2.143447         |          Ar II    |  1.0          | G          | 5          
 243     |    2.128006         |          Ar II    |  1.0          | G          | 5          
 243     |  2.13387089         |           Ar I    |  1.0          | G          | 5          
 243     |   2.1380941         |           Th I    |  1.0          | G          | 5          
 244     |    2.124281         |          Ar II    |  1.0          | G          | 5          
 244     |    2.128006         |          Ar II    |  1.0          | G          | 5          
 244     |  2.13387089         |           Ar I    |  1.0          | G          | 5          
 245     |    2.112834         |          Ar II    |  1.0          | G          | 5          
 245     |   2.1138418         |           Th I    |  1.0          | G          | 5          
 245     |  2.11489584         |           Th I    |  1.0          | G          | 5          
 245     |  2.11542621         |           Th I    |  1.0          | G          | 5          
 245     |   2.1168468         |          Th II    |  1.0          | G          | 5          
 245     |    2.124281         |          Ar II    |  1.0          | G          | 5          
 246     |  2.10415644         |         Ar I *    |  1.0          | G          | 5          
 246     |   2.1055955         |           Th I    |  1.0          | G          | 5          
 246     |    2.106188         |          Ar II    |  1.0          | G          | 5          
 246     |   2.1101546         |          Th II    |  1.0          | G          | 5          
 246     |    2.112834         |          Ar II    |  1.0          | G          | 5          
 246     |   2.1138418         |           Th I    |  1.0          | G          | 5          
 247     |    2.094204         |          Ar II    |  1.0          | G          | 5          
 247     |    2.097946         |           Th I    |  1.0          | G          | 5          
 247     |    2.101495         |           Th I    |  1.0          | G          | 5          
 247     |    2.101644         |          Ar II    |  1.0          | G          | 5          
 247     |    2.101756         |           Th I    |  1.0          | G          | 5          
