#
# Generated by M. Cushing, Tue Oct 17 12:30:56 2017
#
# Line list for the Kgas mode of iSHELL.
#
#==============================================================================================
#Order   | Vacuum Wavelength   | Species           | Fit Window    | Fit Type   | Fit N Terms
#        | (microns)           |                   | (Angstroms)   |            |            
#==============================================================================================
 211     |   2.4435247         |           Th I    |  1.5          | G          | 5          
 211     |    2.445168         |          Ar II    |  2.0          | G          | 5          
 211     |   2.4475408         |          Th II    |  2.0          | G          | 5          
 211     |    2.447691         |           Th I    |  2.0          | G          | 5          
 211     |    2.448681         |           Th I    |  2.0          | G          | 5          
 211     |    2.449342         |           Th I    |  2.0          | G          | 5          
 211     |    2.452293         |           Th I    |  2.0          | G          | 5          
 211     |    2.452933         |   Ar II / Th I    |  2.0          | G          | 5          
 212     |    2.445168         |          Ar II    |  2.0          | G          | 5          
 213     |    2.420291         |          Ar II    |  2.0          | G          | 5          
 213     |    2.426899         |           Th I    |  2.0          | G          | 5          
 213     |    2.427382         |           Th I    |  2.0          | G          | 5          
 213     |    2.429791         |  Ar II / Th II    |  2.0          | G          | 5          
 213     |    2.430737         |           Th I    |  1.5          | G          | 5          
 213     |   2.4308477         |           Th I    |  2.0          | G          | 5          
 214     |    2.412730         |           Th I    |  2.0          | G          | 5          
 214     |   2.4142839         |           Th I    |  2.0          | G          | 5          
 214     |    2.414522         |           Th I    |  2.0          | G          | 5          
 214     |    2.417831         |           Th I    |  1.0          | G          | 5          
 214     |   2.4179461         |           Th I    |  2.0          | G          | 5          
 214     |    2.419256         |                   |  2.0          | G          | 5          
 214     |    2.420291         |          Ar II    |  2.0          | G          | 5          
 215     |    2.399895         |          Ar II    |  2.0          | G          | 5          
 215     |    2.400572         |          ThIII    |  2.0          | G          | 5          
 215     |  2.40145153         |           Th I    |  2.0          | G          | 5          
 215     |   2.4019775         |         Ar I *    |  2.0          | G          | 5          
 215     |    2.406659         |          Th II    |  1.3          | G          | 5          
 215     |    2.408278         |           Th I    |  2.0          | G          | 5          
 215     |    2.412730         |           Th I    |  2.0          | G          | 5          
 215     |   2.4142839         |           Th I    |  2.0          | G          | 5          
 216     |   2.3911155         |         Ar I *    |  2.0          | G          | 5          
 216     |   2.3913668         |           Th I    |  2.0          | G          | 5          
 216     |    2.397081         |          Th II    |  1.5          | G          | 5          
 216     |    2.399895         |          Ar II    |  2.0          | G          | 5          
 216     |    2.400572         |          ThIII    |  2.0          | G          | 5          
 216     |  2.40145153         |           Th I    |  2.0          | G          | 5          
 216     |   2.4019775         |         Ar I *    |  2.0          | G          | 5          
 217     |    2.377260         |          Ar II    |  2.0          | G          | 5          
 217     |  2.37883254         |           Th I    |  1.0          | G          | 5          
 217     |    2.379064         |          ThIII    |  2.0          | G          | 5          
 217     |    2.385704         |   Th I / Th II    |  2.0          | G          | 5          
 217     |   2.3911155         |         Ar I *    |  2.0          | G          | 5          
 217     |   2.3913668         |           Th I    |  2.0          | G          | 5          
 218     |   2.3669928         |           Th I    |  2.0          | G          | 5          
 218     |    2.367513         |          Ar II    |  2.0          | G          | 5          
 218     |    2.367827         |           Th I    |  1.5          | G          | 5          
 218     |   2.3679292         |           Th I    |  1.5          | G          | 5          
 218     |    2.369444         |           Th I    |  2.0          | G          | 5          
 218     |    2.370299         |          Th II    |  2.0          | G          | 5          
 218     |   2.3711241         |           Th I    |  2.0          | G          | 5          
 218     |    2.371904         |           Th I    |  2.0          | G          | 5          
 218     |    2.374864         |   Th I / Th II    |  2.0          | G          | 5          
 218     |    2.375118         |                   |  1.5          | G          | 5          
 218     |    2.375231         |          Th II    |  1.7          | G          | 5          
 218     |    2.377260         |          Ar II    |  2.0          | G          | 5          
 218     |  2.37883254         |           Th I    |  1.0          | G          | 5          
