#
# Generated by M. Cushing, Tue Oct 17 09:54:34 2017
#
# Line list for the J2 mode of iSHELL.
#
#==============================================================================================
#Order   | Vacuum Wavelength   | Species           | Fit Window    | Fit Type   | Fit N Terms
#        | (microns)           |                   | (Angstroms)   |            |            
#==============================================================================================
 406     |  1.30078367         |          Th II    |  1.5          | G          | 5          
 407     |  1.29556258         |           Th I    |  1.5          | G          | 5          
 407     |  1.29633625         |           Th I    |  1.5          | G          | 5          
 407     |  1.29922534         |         Ar I *    |  1.5          | G          | 5          
 408     |  1.29387663         |           Th I    |  1.5          | G          | 5          
 408     |  1.29556258         |           Th I    |  1.5          | G          | 5          
 408     |  1.29633625         |           Th I    |  1.5          | G          | 5          
 409     |  1.29023872         |           Th I    |  1.5          | G          | 5          
 409     |   1.2906538         |         Ar I *    |  1.5          | G          | 5          
 409     |  1.29205110         |           Th I    |  1.5          | G          | 5          
 409     |  1.29367322         |           Ar I    |  1.5          | G          | 5          
 410     |  1.28651625         |           Th I    |  1.5          | G          | 5          
 410     |  1.28701606         |           Th I    |  1.5          | G          | 5          
 410     |   1.2876897         |         Ar I *    |  1.0          | G          | 5          
 411     |  1.28505741         |             Ar    |  1.5          | G          | 5          
 411     |  1.28651625         |           Th I    |  1.5          | G          | 5          
 411     |  1.28701606         |           Th I    |  1.5          | G          | 5          
 412     |  1.28062419         |           Ar I    |  1.5          | G          | 5          
 412     |  1.28169872         |         Ar I *    |  1.5          | G          | 5          
 412     |   1.2826934         |           Ar I    |  1.5          | G          | 5          
 413     |  1.27763237         |         Ar I *    |  1.5          | G          | 5          
 413     |  1.27850716         |           Th I    |  1.5          | G          | 5          
 413     |  1.27862744         |          Ar II    |  1.5          | G          | 5          
 413     |  1.27950451         |         Ar I *    |  1.5          | G          | 5          
 413     |  1.27989697         |         Ar I *    |  1.5          | G          | 5          
 413     |  1.28062419         |           Ar I    |  1.5          | G          | 5          
 414     |  1.27369011         |           Ar I    |  1.5          | G          | 5          
 414     |  1.27497187         |           Ar I    |  1.5          | G          | 5          
 414     |  1.27655862         |           Th I    |  1.5          | G          | 5          
 414     |  1.27694345         |         Ar I *    |  1.5          | G          | 5          
 414     |  1.27763237         |         Ar I *    |  1.5          | G          | 5          
 414     |  1.27862744         |          Ar II    |  1.5          | G          | 5          
 415     |   1.2735893         |          Ar II    |  0.9          | G          | 5          
 415     |  1.27369011         |           Ar I    |  1.5          | G          | 5          
 415     |  1.27497187         |           Ar I    |  1.5          | G          | 5          
 416     |  1.26836266         |          Ar II    |  1.5          | G          | 5          
 416     |  1.26882872         |          Th II    |  1.5          | G          | 5          
 416     |  1.26948886         |           Th I    |  1.5          | G          | 5          
 416     |   1.2700433         |           Ar I    |  1.5          | G          | 5          
 416     |  1.27128037         |           Th I    |  0.8          | G          | 5          
 416     |  1.27132947         |           Th I    |  0.6          | G          | 5          
 417     |   1.2664760         |         Ar I *    |  1.5          | G          | 5          
 417     |  1.26836266         |          Ar II    |  1.5          | G          | 5          
 417     |  1.26882872         |          Th II    |  1.5          | G          | 5          
 417     |  1.27057571         |         Ar I *    |  1.5          | G          | 5          
 418     |  1.26250717         |           Ar I    |  1.5          | G          | 5          
 418     |  1.26395996         |           Th I    |  1.5          | G          | 5          
 418     |  1.26419390         |           Ar I    |  1.5          | G          | 5          
 418     |  1.26491504         |           Th I    |  0.8          | G          | 5          
 418     |  1.26499940         |          Th II    |  1.2          | G          | 5          
 418     |   1.2664760         |         Ar I *    |  1.5          | G          | 5          
 419     |  1.25996556         |         Ar I *    |  1.5          | G          | 5          
 419     |  1.26238197         |          Ar II    |  1.5          | G          | 5          
 419     |  1.26250717         |           Ar I    |  1.5          | G          | 5          
 419     |  1.26419390         |           Ar I    |  1.5          | G          | 5          
 420     |   1.2598145         |         Ar I *    |  1.5          | G          | 5          
 420     |  1.25996556         |         Ar I *    |  1.5          | G          | 5          
 421     |  1.25577626         |           Ar I    |  1.5          | G          | 5          
 422     |  1.25577626         |           Ar I    |  1.5          | G          | 5          
 423     |  1.24910794         |           Ar I    |  1.5          | G          | 5          
 424     |  1.24595223         |           Ar I    |  1.5          | G          | 5          
 424     |  1.24726389         |           Th I    |  1.5          | G          | 5          
 424     |  1.24807092         |           Th I    |  1.0          | G          | 5          
 425     |  1.24454126         |           Th I    |  1.2          | G          | 5          
 425     |  1.24508968         |           Th I    |  1.5          | G          | 5          
 425     |  1.24643819         |           Th I    |  1.5          | G          | 5          
 426     |  1.24062215         |           Ar I    |  1.5          | G          | 5          
 426     |  1.24070455         |             Ar    |  0.8          | G          | 5          
 426     |  1.24185563         |           Th I    |  1.5          | G          | 5          
 426     |  1.24227879         |         Ar I *    |  0.9          | G          | 5          
 426     |  1.24234231         |         Ar I *    |  0.8          | G          | 5          
 426     |  1.24427260         |           Ar I    |  1.5          | G          | 5          
 427     |  1.23810740         |         Ar I *    |  1.5          | G          | 5          
 427     |  1.24070455         |             Ar    |  0.6          | G          | 5          
 427     |  1.24227879         |         Ar I *    |  1.5          | G          | 5          
 428     |  1.23467711         |           Ar I    |  1.5          | G          | 5          
 428     |  1.23592023         |         Ar I *    |  0.5          | G          | 5          
 428     |  1.23596736         |         Ar I *    |  0.6          | G          | 5          
 428     |  1.23810740         |         Ar I *    |  1.5          | G          | 5          
 429     |  1.23413736         |           Th I    |  1.5          | G          | 5          
 429     |  1.23467711         |           Ar I    |  1.5          | G          | 5          
 429     |  1.23592023         |         Ar I *    |  0.5          | G          | 5          
 429     |  1.23596736         |         Ar I *    |  0.6          | G          | 5          
 432     |  1.22525345         |           Th I    |  1.5          | G          | 5          
 433     |  1.22295257         |           Th I    |  1.5          | G          | 5          
 433     |  1.22352911         |           Th I    |  1.5          | G          | 5          
 433     |  1.22365447         |           Th I    |  1.5          | G          | 5          
 433     |  1.22377237         |         Ar I *    |  1.5          | G          | 5          
 434     |  1.21974998         |          Th II    |  1.5          | G          | 5          
 434     |  1.22102331         |           Th I    |  1.5          | G          | 5          
 434     |  1.22163380         |         Ar I *    |  1.5          | G          | 5          
 435     |  1.21679150         |          Ar II    |  1.5          | G          | 5          
 435     |  1.21751453         |           Th I    |  1.5          | G          | 5          
 435     |  1.21974998         |          Th II    |  1.5          | G          | 5          
 436     |  1.21430614         |         Ar I *    |  1.5          | G          | 5          
 436     |  1.21527142         |         Ar I *    |  0.7          | G          | 5          
 436     |  1.21546911         |         Ar I *    |  1.5          | G          | 5          
 436     |  1.21679150         |          Ar II    |  1.5          | G          | 5          
 437     |  1.21156411         |           Ar I    |  1.5          | G          | 5          
 437     |  1.21229585         |           Th I    |  1.5          | G          | 5          
 437     |  1.21257564         |          Ar II    |  1.5          | G          | 5          
 437     |  1.21297373         |           Th I    |  1.0          | G          | 5          
 437     |  1.21306196         |           Th I    |  1.2          | G          | 5          
 437     |  1.21327427         |           Th I    |  1.5          | G          | 5          
 437     |  1.21430614         |         Ar I *    |  1.5          | G          | 5          
 437     |  1.21546911         |         Ar I *    |  1.5          | G          | 5          
 438     |  1.20928715         |          Ar II    |  1.5          | G          | 5          
 438     |  1.21156411         |           Ar I    |  1.5          | G          | 5          
 439     |   1.2069576         |          Ar II    |  1.5          | G          | 5          
 439     |  1.20928715         |          Ar II    |  1.5          | G          | 5          
 440     |  1.20299409         |         Ar I *    |  1.5          | G          | 5          
 441     |  1.20213393         |           Th I    |  0.8          | G          | 5          
 441     |  1.20220052         |           Th I    |  1.0          | G          | 5          
 441     |  1.20299409         |         Ar I *    |  1.5          | G          | 5          
 442     |  1.19879480         |          Th II    |  1.5          | G          | 5          
