#
# Generated by M. Cushing, Tue Oct 17 10:57:41 2017
#
# Line list for the L1 mode of iSHELL.
#
#==============================================================================================
#Order   | Vacuum Wavelength   | Species           | Fit Window    | Fit Type   | Fit N Terms
#        | (microns)           |                   | (Angstroms)   |            |            
#==============================================================================================
 172     |    3.018641         |   Ar II / Th I    |  2.0          | G          | 5          
 173     |    2.997110         |          Ar II    |  2.0          | G          | 5          
 173     |   2.9989532         |         Ar I *    |  2.0          | G          | 5          
 175     |    2.956162         |                   |  2.0          | G          | 5          
 175     |   2.9566269         |         Ar I *    |  2.0          | G          | 5          
 175     |  2.96708893         |           Th I    |  2.0          | G          | 5          
 175     |   2.9677882         |           Th I    |  2.0          | G          | 5          
 176     |   2.9360907         |          Ar II    |  2.0          | G          | 5          
 176     |    2.938123         |                   |  2.0          | G          | 5          
 176     |    2.956162         |                   |  2.0          | G          | 5          
 176     |   2.9566269         |         Ar I *    |  2.0          | G          | 5          
 177     |    2.921340         |          Ar II    |  2.0          | G          | 5          
 177     |  2.92628946         |         Ar I *    |  2.0          | G          | 5          
 177     |  2.92806389         |         Ar I *    |  2.0          | G          | 5          
 177     |   2.9360907         |          Ar II    |  2.0          | G          | 5          
 177     |    2.938123         |                   |  2.0          | G          | 5          
 178     |    2.906092         |          Ar II    |  2.0          | G          | 5          
 178     |   2.9076401         |          Th II    |  2.0          | G          | 5          
 178     |   2.9094514         |           Th I    |  2.0          | G          | 5          
 178     |  2.91085013         |         Ar I *    |  2.0          | G          | 5          
 178     |  2.91340376         |         Ar I *    |  2.0          | G          | 5          
 178     |    2.921340         |          Ar II    |  2.0          | G          | 5          
 179     |    2.887013         |           Ar I    |  2.0          | G          | 5          
 179     |   2.8989190         |         Ar I *    |  2.0          | G          | 5          
 179     |    2.906092         |          Ar II    |  2.0          | G          | 5          
 179     |   2.9076401         |          Th II    |  2.0          | G          | 5          
 180     |  2.86978696         |         Ar I *    |  2.0          | G          | 5          
 180     |  2.87123792         |         Ar I *    |  2.0          | G          | 5          
 180     |    2.882181         |          Ar II    |  2.0          | G          | 5          
 180     |    2.883759         |           Th I    |  2.0          | G          | 5          
 180     |  2.88430678         |         Ar I *    |  2.0          | G          | 5          
 180     |    2.887013         |           Ar I    |  2.0          | G          | 5          
 180     |   2.8879574         |          Th II    |  2.0          | G          | 5          
 181     |   2.8582201         |           Th I    |  2.0          | G          | 5          
 181     |  2.86978696         |         Ar I *    |  2.0          | G          | 5          
 181     |  2.87123792         |         Ar I *    |  2.0          | G          | 5          
 182     |    2.838725         |           Ar I    |  2.0          | G          | 5          
 182     |   2.8436096         |         Ar I *    |  2.0          | G          | 5          
 182     |  2.85383822         |         Ar I *    |  2.0          | G          | 5          
 182     |   2.8546696         |           Th I    |  2.0          | G          | 5          
 182     |   2.8582201         |           Th I    |  2.0          | G          | 5          
 183     |  2.82459447         |         Ar I *    |  2.0          | G          | 5          
 183     |  2.83217737         |         Ar I *    |  2.0          | G          | 5          
 183     |    2.838725         |           Ar I    |  2.0          | G          | 5          
 183     |   2.8436096         |         Ar I *    |  2.0          | G          | 5          
 184     |  2.82024265         |         Ar I *    |  2.0          | G          | 5          
 184     |  2.82459447         |         Ar I *    |  2.0          | G          | 5          
 185     |  2.79848373         |         Ar I *    |  2.0          | G          | 5          
 185     |    2.801218         |           Ar I    |  2.0          | G          | 5          
 186     |  2.77935110         |         Ar I *    |  2.0          | G          | 5          
 186     |  2.79848373         |         Ar I *    |  2.0          | G          | 5          
 187     |   2.7640642         |         Ar I *    |  2.0          | G          | 5          
 187     |   2.7645023         |          Ar II    |  2.0          | G          | 5          
 187     |    2.768299         |          Ar II    |  2.0          | G          | 5          
 187     |    2.776007         |           Ar I    |  2.0          | G          | 5          
 187     |  2.77935110         |         Ar I *    |  2.0          | G          | 5          
 188     |   2.7568606         |         Ar I *    |  2.0          | G          | 5          
 188     |    2.762054         |          Ar II    |  2.0          | G          | 5          
 188     |   2.7626691         |         Ar I *    |  2.0          | G          | 5          
 188     |   2.7640642         |         Ar I *    |  2.0          | G          | 5          
 188     |   2.7645023         |          Ar II    |  2.0          | G          | 5          
