#
# Generated by M. Cushing, Sat Sep 23 10:30:59 2017
#
# Line list for the L2 mode of iSHELL.
#
#==============================================================================================
#Order   | Vacuum Wavelength   | Species           | Fit Window    | Fit Type   | Fit N Terms
#        | (microns)           |                   | (Angstroms)   |            |            
#==============================================================================================
 160     |  3.2290087          |            Sky    |  7.0          | L          | 5          
 160     |  3.2270405          |            Sky    |  4.0          | L          | 5          
 160     |  3.2314906          |            Sky    |  7.0          | L          | 5          
 160     |  3.2379289          |            Sky    | 10.0          | L          | 5          
 161     |  3.2148221          |            Sky    |  3.0          | L          | 5          
 161     |  3.2151158          |            Sky    |  4.0          | L          | 5          
 161     |  3.2172539          |            Sky    | 10.0          | L          | 5          
 161     |  3.2197084          |            Sky    | 10.0          | L          | 5          
 161     |  3.2232461          |            Sky    |  5.0          | L          | 5          
 161     |  3.2238555          |            Sky    |  5.0          | L          | 5          
 161     |  3.2290087          |            Sky    | 10.0          | L          | 5          
 162     |  3.1883612          |            Sky    | 10.0          | L          | 5          
 162     |  3.1931181          |            Sky    |  5.0          | L          | 5          
 162     |  3.1944838          |            Sky    |  8.0          | L          | 5          
 162     |  3.1963599          |            Sky    |  6.0          | L          | 5          
 162     |  3.1998651          |            Sky    |  8.0          | L          | 5          
 162     |  3.2034864          |            Sky    |  6.0          | L          | 5          
 163     |  3.1664419          |            Sky    |  5.0          | L          | 5          
 163     |  3.1670601          |            Sky    |  3.0          | L          | 5          
 163     |  3.1692231          |            Sky    | 10.0          | L          | 5          
 163     |  3.1732380          |            Sky    | 10.0          | L          | 5          
 163     |  3.1755860          |            Sky    |  3.0          | L          | 5          
 163     |  3.1758025          |            Sky    |  3.0          | L          | 5          
 163     |  3.1776230          |            Sky    |  8.0          | L          | 5          
 163     |  3.1804452          |            Sky    | 10.0          | L          | 5          
 163     |  3.1840751          |            Sky    |  5.0          | L          | 5          
 163     |  3.1856170          |            Sky    |  5.0          | L          | 5          
 164     |  3.1487124          |            Sky    |  5.0          | L          | 5          
 164     |  3.1496747          |            Sky    |  5.0          | L          | 5          
 164     |  3.1514354          |            Sky    | 10.0          | L          | 5          
 164     |  3.1536791          |            Sky    | 10.0          | L          | 5          
 164     |  3.1547525          |            Sky    |  3.0          | L          | 5          
 164     |  3.1550231          |            Sky    |  3.0          | L          | 5          
 164     |  3.1566546          |            Sky    | 10.0          | L          | 5          
 164     |  3.1573262          |            Sky    |  5.0          | L          | 5          
 164     |  3.1584716          |            Sky    |  3.0          | L          | 5          
 164     |  3.1594548          |            Sky    |  5.0          | L          | 5          
 164     |  3.1603689          |            Sky    |  4.0          | L          | 5          
 164     |  3.1607285          |            Sky    |  5.0          | L          | 5          
 164     |  3.1624684          |            Sky    |  8.0          | L          | 5          
 164     |  3.1664419          |            Sky    |  5.0          | L          | 5          
 164     |  3.1668661          |            Sky    |  2.0          | L          | 4          
 164     |  3.1670601          |            Sky    |  4.0          | L          | 5          
 165     |  3.1328583          |            Sky    |  3.0          | L          | 5          
 165     |  3.1338730          |            Sky    |  7.0          | L          | 5          
 165     |  3.1414094          |            Sky    |  3.0          | L          | 5          
 165     |  3.1421671          |            Sky    |  3.0          | L          | 5          
 165     |  3.1424029          |            Sky    |  3.0          | L          | 5          
 165     |  3.1435852          |            Sky    | 10.0          | L          | 5          
 165     |  3.1449804          |            Sky    | 10.0          | L          | 5          
 165     |  3.1487124          |            Sky    |  6.0          | L          | 5          
 165     |  3.1493566          |            Sky    |  3.0          | L          | 5          
 165     |  3.1496747          |            Sky    |  5.0          | L          | 5          
 165     |  3.1514354          |            Sky    | 10.0          | L          | 5          
 166     |  3.1145663          |            Sky    |  5.0          | L          | 5          
 166     |  3.1178648          |            Sky    | 10.0          | L          | 5          
 166     |  3.1197226          |            Sky    | 10.0          | L          | 5          
 166     |  3.1216211          |            Sky    |  6.0          | L          | 5          
 166     |  3.1247282          |            Sky    |  6.0          | L          | 5          
 166     |  3.1282790          |            Sky    |  5.0          | L          | 5          
 166     |  3.1338730          |            Sky    |  5.0          | L          | 5          
 167     |  3.0946736          |            Sky    |  4.0          | L          | 5          
 167     |  3.0950327          |            Sky    |  6.0          | L          | 5          
 167     |  3.0968924          |            Sky    |  5.0          | L          | 5          
 167     |  3.0915511          |            Sky    | 10.0          | L          | 5          
 167     |  3.0937970          |            Sky    |  8.0          | L          | 5          
 167     |  3.0997472          |            Sky    |  5.0          | L          | 5          
 167     |  3.1000955          |            Sky    |  5.0          | L          | 5          
 167     |  3.1055832          |            Sky    |  3.0          | L          | 4          
 167     |  3.1101105          |            Sky    |  5.0          | L          | 5          
 167     |  3.1145663          |            Sky    |  6.0          | L          | 5          
 168     |  3.0754995          |            Sky    | 10.0          | L          | 5          
 168     |  3.0774245          |            Sky    | 10.0          | L          | 5          
 168     |  3.0794208          |            Sky    |  7.0          | L          | 5          
 168     |  3.0801919          |            Sky    |  8.0          | L          | 5          
 168     |  3.0835216          |            Sky    |  4.0          | L          | 5          
 168     |  3.0847318          |            Sky    | 10.0          | L          | 5          
 168     |  3.0883741          |            Sky    | 10.0          | L          | 5          
 168     |  3.0950327          |            Sky    |  5.0          | L          | 5          
 168     |  3.0968924          |            Sky    |  6.0          | L          | 5          
 168     |  3.0915511          |            Sky    | 10.0          | L          | 5          
 169     |  3.0563357          |            Sky    | 10.0          | L          | 5          
 169     |  3.0571489          |            Sky    |  5.0          | L          | 5          
 169     |  3.0577054          |            Sky    |  7.0          | L          | 5          
 169     |  3.0606921          |            Sky    |  8.0          | L          | 5          
 169     |  3.0614879          |            Sky    |  4.0          | L          | 5          
 169     |  3.0617628          |            Sky    |  3.0          | L          | 5          
 169     |  3.0635004          |            Sky    |  5.0          | L          | 5          
 169     |  3.0644054          |            Sky    |  8.0          | L          | 5          
 169     |  3.0651181          |            Sky    |  6.0          | L          | 5          
 169     |  3.0711720          |            Sky    |  8.0          | L          | 5          
 169     |  3.0754995          |            Sky    | 10.0          | L          | 5          
 169     |  3.0774245          |            Sky    | 10.0          | L          | 5          
 170     |  3.0392058          |            Sky    |  6.0          | L          | 5          
 170     |  3.0440931          |            Sky    |  8.0          | L          | 5          
 170     |  3.0448663          |            Sky    |  6.0          | L          | 5          
 170     |  3.0452867          |            Sky    |  5.0          | L          | 5          
 170     |  3.0481200          |            Sky    |  5.0          | L          | 5          
 170     |  3.0496202          |            Sky    |  6.0          | L          | 5          
 170     |  3.0500617          |            Sky    |  5.0          | L          | 5          
 170     |  3.0532701          |            Sky    |  8.0          | L          | 5          
 170     |  3.0563357          |            Sky    | 10.0          | L          | 5          
 170     |  3.0571489          |            Sky    |  7.0          | L          | 5          
 170     |  3.0577054          |            Sky    |  7.0          | L          | 5          
 171     |  3.0232582          |            Sky    |  4.0          | L          | 5          
 171     |  3.0298440          |            Sky    |  3.0          | L          | 5          
 171     |  3.0301075          |            Sky    |  4.0          | L          | 5          
 171     |  3.0304904          |            Sky    |  4.0          | L          | 5          
 171     |  3.0320427          |            Sky    |  5.0          | L          | 5          
 171     |  3.0331769          |            Sky    |  6.0          | L          | 5          
 171     |  3.0338776          |            Sky    |  6.0          | L          | 5          
 171     |  3.0392058          |            Sky    |  8.0          | L          | 5          
 172     |  3.0033224          |            Sky    | 10.0          | L          | 5          
 172     |  3.0040176          |            Sky    |  6.0          | L          | 5          
 172     |  3.0058951          |            Sky    |  4.0          | L          | 5          
 172     |  3.0065753          |            Sky    |  4.0          | L          | 5          
 172     |  3.0076382          |            Sky    |  4.0          | L          | 5          
 172     |  3.0079336          |            Sky    |  4.0          | L          | 5          
 172     |  3.0084176          |            Sky    |  5.0          | L          | 5          
 172     |  3.0116267          |            Sky    | 10.0          | L          | 5          
 172     |  3.0131626          |            Sky    |  3.0          | L          | 5          
 172     |  3.0134015          |            Sky    |  4.0          | L          | 5          
 172     |  3.0141480          |            Sky    |  3.0          | L          | 5          
 172     |  3.0145187          |            Sky    |  5.0          | L          | 5          
 172     |  3.0165524          |            Sky    | 10.0          | L          | 5          
 172     |  3.0232608          |            Sky    |  4.0          | L          | 5          
 172     |  3.0232582          |            Sky    |  4.0          | L          | 5          
 173     |  2.9851983          |            Sky    | 10.0          | L          | 5          
 173     |  2.9864619          |            Sky    |  5.0          | L          | 5          
 173     |  2.9886088          |            Sky    | 10.0          | L          | 5          
 173     |  2.9913433          |            Sky    |  7.0          | L          | 5          
 173     |  2.9919572          |            Sky    | 10.0          | L          | 5          
 173     |  2.9927719          |            Sky    | 10.0          | L          | 5          
 173     |  2.9949198          |            Sky    |  4.0          | L          | 5          
 173     |  3.0033224          |            Sky    | 10.0          | L          | 5          
 173     |  3.0040176          |            Sky    |  6.0          | L          | 5          
 173     |  3.0058951          |            Sky    |  4.0          | L          | 5          
 173     |  3.0076382          |            Sky    |  3.0          | L          | 5          
 173     |  3.0079336          |            Sky    |  5.0          | L          | 5          
 173     |  3.0084176          |            Sky    |  5.0          | L          | 5          
 174     |  2.9735956          |            Sky    |  5.0          | L          | 5          
 174     |  2.9704108          |            Sky    |  5.0          | L          | 5          
 174     |  2.9735956          |            Sky    |  5.0          | L          | 5          
 174     |  2.9810672          |            Sky    |  3.0          | L          | 5          
 174     |  2.9818168          |            Sky    |  6.0          | L          | 5          
 174     |  2.9822011          |            Sky    |  4.0          | L          | 5          
 174     |  2.9839518          |            Sky    | 10.0          | L          | 5          
 174     |  2.9851983          |            Sky    | 10.0          | L          | 5          
 174     |  2.9864619          |            Sky    |  4.0          | L          | 5          
 174     |  2.9886088          |            Sky    | 10.0          | L          | 5          
 175     |  2.9581711          |            Sky    | 10.0          | L          | 5          
 175     |  2.9588695          |            Sky    |  5.0          | L          | 5          
 175     |  2.9593461          |            Sky    |  3.0          | L          | 5          
 175     |  2.9599469          |            Sky    |  5.0          | L          | 5          
 175     |  2.9602726          |            Sky    |  4.0          | L          | 5          
 175     |  2.9607255          |            Sky    |  5.0          | L          | 5          
 175     |  2.9614887          |            Sky    |  5.0          | L          | 5          
 175     |  2.9624221          |            Sky    |  3.0          | L          | 5          
 175     |  2.9632418          |            Sky    | 10.0          | L          | 5          
 175     |  2.9638231          |            Sky    |  5.0          | L          | 5          
 175     |  2.9664350          |            Sky    | 10.0          | L          | 5          
 175     |  2.9681034          |            Sky    |  4.0          | L          | 5          
 175     |  2.9735956          |            Sky    |  6.0          | L          | 5          
 175     |  2.9704108          |            Sky    |  6.0          | L          | 5          
 175     |  2.9735956          |            Sky    |  6.0          | L          | 5          
