#
# Generated by M. Cushing, Sun Sep 24 11:09:31 2017
#
# Line list for the L3 mode of iSHELL.
#
#==============================================================================================
#Order   | Vacuum Wavelength   | Species           | Fit Window    | Fit Type   | Fit N Terms
#        | (microns)           |                   | (Angstroms)   |            |            
#==============================================================================================
 150     |  3.4395831          |            Sky    | 10.0          | L          | 5          
 150     |  3.4408209          |            Sky    |  4.0          | L          | 5          
 150     |  3.4460421          |            Sky    |  5.0          | L          | 5          
 150     |  3.4464474          |            Sky    |  3.0          | L          | 5          
 150     |  3.4481354          |            Sky    |  6.0          | L          | 5          
 150     |  3.4490807          |            Sky    | 10.0          | L          | 5          
 150     |  3.4498289          |            Sky    | 10.0          | L          | 5          
 150     |  3.4508903          |            Sky    |  6.0          | L          | 5          
 150     |  3.4513655          |            Sky    |  5.0          | L          | 5          
 150     |  3.4518657          |            Sky    |  8.0          | L          | 5          
 151     |  3.4185882          |            Sky    |  6.0          | L          | 5          
 151     |  3.4192030          |            Sky    |  6.0          | L          | 5          
 151     |  3.4212463          |            Sky    | 10.0          | L          | 5          
 151     |  3.4230974          |            Sky    | 10.0          | L          | 5          
 151     |  3.4244437          |            Sky    |  3.0          | L          | 5          
 151     |  3.4247875          |            Sky    |  4.0          | L          | 5          
 151     |  3.4256775          |            Sky    |  6.0          | L          | 5          
 151     |  3.4261422          |            Sky    |  4.0          | G          | 5          
 151     |  3.4264367          |            Sky    |  3.0          | G          | 5          
 151     |  3.4284675          |            Sky    |  3.0          | L          | 5          
 151     |  3.4357724          |            Sky    |  4.0          | L          | 5          
 151     |  3.4365611          |            Sky    |  4.0          | L          | 5          
 151     |  3.4367895          |            Sky    |  2.5          | L          | 5          
 151     |  3.4383967          |            Sky    | 10.0          | L          | 5          
 151     |  3.4395831          |            Sky    | 10.0          | L          | 5          
 151     |  3.4408209          |            Sky    |  4.0          | L          | 5          
 152     |  3.4012744          |            Sky    |  8.0          | L          | 5          
 152     |  3.4039445          |            Sky    |  4.0          | L          | 5          
 152     |  3.4042630          |            Sky    |  3.0          | L          | 5          
 152     |  3.4048691          |            Sky    |  3.0          | L          | 5          
 152     |  3.4057169          |            Sky    |  5.0          | L          | 5          
 152     |  3.4061694          |            Sky    |  5.0          | L          | 5          
 152     |  3.4086325          |            Sky    |  6.0          | L          | 5          
 152     |  3.4090610          |            Sky    |  2.0          | L          | 5          
 152     |  3.4092085          |            Sky    |  2.0          | L          | 5          
 152     |  3.4098866          |            Sky    |  5.0          | L          | 5          
 152     |  3.4103503          |            Sky    |  5.0          | L          | 5          
 152     |  3.4109378          |            Sky    |  3.0          | L          | 5          
 152     |  3.4122038          |            Sky    |  5.0          | L          | 5          
 153     |  3.3735566          |            Sky    |  4.0          | L          | 5          
 153     |  3.3764277          |            Sky    |  4.0          | L          | 5          
 153     |  3.3768101          |            Sky    |  4.0          | L          | 5          
 153     |  3.3772962          |            Sky    |  3.0          | L          | 5          
 153     |  3.3824852          |            Sky    |  8.0          | L          | 5          
 153     |  3.3833151          |            Sky    |  8.0          | L          | 5          
 153     |  3.3847828          |            Sky    |  3.0          | L          | 5          
 153     |  3.3850629          |            Sky    |  3.0          | L          | 5          
 153     |  3.3908422          |            Sky    |  6.0          | L          | 5          
 154     |  3.3509703          |            Sky    | 10.0          | L          | 5          
 154     |  3.3527462          |            Sky    |  2.0          | L          | 5          
 154     |  3.3529465          |            Sky    |  3.0          | L          | 5          
 154     |  3.3540647          |            Sky    |  3.0          | L          | 5          
 154     |  3.3544080          |            Sky    |  4.0          | L          | 5          
 154     |  3.3618069          |            Sky    |  6.0          | L          | 5          
 154     |  3.3655479          |            Sky    |  3.0          | L          | 5          
 154     |  3.3657842          |            Sky    |  3.0          | L          | 5          
 154     |  3.3668079          |            Sky    |  6.0          | L          | 5          
 154     |  3.3675518          |            Sky    |  6.0          | L          | 5          
 154     |  3.3692865          |            Sky    |  4.0          | L          | 5          
 154     |  3.3700280          |            Sky    |  4.0          | L          | 5          
 154     |  3.3705978          |            Sky    |  6.0          | L          | 5          
 154     |  3.3764277          |            Sky    |  5.0          | L          | 5          
 155     |  3.3294783          |            Sky    |  4.0          | L          | 5          
 155     |  3.3356171          |            Sky    |  4.0          | L          | 5          
 155     |  3.3383901          |            Sky    | 10.0          | L          | 5          
 155     |  3.3415186          |            Sky    |  8.0          | L          | 5          
 155     |  3.3449032          |            Sky    |  4.0          | L          | 5          
 155     |  3.3509703          |            Sky    | 10.0          | L          | 5          
 155     |  3.3527462          |            Sky    |  2.0          | L          | 5          
 155     |  3.3529465          |            Sky    |  3.0          | L          | 5          
 155     |  3.3540647          |            Sky    |  3.0          | L          | 5          
 155     |  3.3544080          |            Sky    |  4.0          | L          | 5          
 156     |  3.3078101          |            Sky    |  6.0          | L          | 5          
 156     |  3.3206735          |            Sky    |  2.5          | L          | 5          
 156     |  3.3208537          |            Sky    |  2.0          | L          | 5          
 156     |  3.3226376          |            Sky    |  4.0          | L          | 5          
 156     |  3.3272851          |            Sky    |  6.0          | L          | 5          
 156     |  3.3294783          |            Sky    |  4.0          | L          | 5          
 157     |  3.3004260          |            Sky    |  5.0          | L          | 5          
 157     |  3.3060815          |            Sky    |  5.0          | L          | 5          
 157     |  3.3078101          |            Sky    |  5.0          | L          | 5          
 158     |  3.2666633          |            Sky    |  8.0          | L          | 5          
 158     |  3.2710259          |            Sky    |  5.0          | L          | 5          
 158     |  3.2726662          |            Sky    |  6.0          | L          | 5          
 159     |  3.2494173          |            Sky    |  4.0          | L          | 5          
 159     |  3.2612896          |            Sky    |  6.0          | L          | 5          
 159     |  3.2619872          |            Sky    |  6.0          | L          | 5          
 159     |  3.2666633          |            Sky    |  8.0          | L          | 5          
 159     |  3.2710259          |            Sky    |  4.0          | L          | 5          
 160     |  3.2290087          |            Sky    |  8.0          | L          | 5          
 160     |  3.2314873          |            Sky    |  6.0          | L          | 5          
 160     |  3.2363675          |            Sky    |  1.5          | L          | 5          
 160     |  3.2365258          |            Sky    |  2.0          | L          | 4          
