#
# Generated by M. Cushing, Sun Sep 24 18:20:47 2017
#
# Line list for the Lp2 mode of iSHELL.
#
#==============================================================================================
#Order   | Vacuum Wavelength   | Species           | Fit Window    | Fit Type   | Fit N Terms
#        | (microns)           |                   | (Angstroms)   |            |            
#==============================================================================================
 132     |  3.9050219          |            Sky    |  6.0          | L          | 5          
 132     |  3.9063242          |            Sky    |  3.0          | G          | 3          
 132     |  3.9076519          |            Sky    |  3.0          | G          | 3          
 132     |  3.9089861          |            Sky    |  3.0          | G          | 3          
 132     |  3.9116826          |            Sky    |  3.0          | G          | 3          
 132     |  3.9130482          |            Sky    | 15.0          | L          | 5          
 132     |  3.9144250          |            Sky    | 10.0          | L          | 5          
 132     |  3.9158136          |            Sky    | 10.0          | L          | 4          
 132     |  3.9172136          |            Sky    | 10.0          | L          | 4          
 132     |  3.9186251          |            Sky    | 15.0          | L          | 4          
 132     |  3.9200468          |            Sky    | 15.0          | L          | 4          
 132     |  3.9214808          |            Sky    | 15.0          | L          | 4          
 132     |  3.9229268          |            Sky    | 10.0          | L          | 4          
 132     |  3.9243833          |            Sky    | 10.0          | L          | 4          
 132     |  3.9258499          |            Sky    |  8.0          | L          | 4          
 132     |  3.9273306          |            Sky    | 15.0          | L          | 5          
 132     |  3.9288209          |            Sky    |  3.0          | L          | 3          
 132     |  3.9303243          |            Sky    |  9.0          | L          | 5          
 132     |  3.9318380          |            Sky    | 15.0          | L          | 5          
 133     |  3.8748733          |            Sky    |  7.0          | L          | 5          
 133     |  3.8758966          |            Sky    | 15.0          | L          | 5          
 133     |  3.8769294          |            Sky    |  5.0          | L          | 5          
 133     |  3.8779756          |            Sky    | 15.0          | L          | 5          
 133     |  3.8790295          |            Sky    | 15.0          | L          | 5          
 133     |  3.8800951          |            Sky    | 15.0          | L          | 5          
 133     |  3.8811714          |            Sky    | 15.0          | L          | 5          
 133     |  3.8822599          |            Sky    | 15.0          | L          | 5          
 133     |  3.8833581          |            Sky    | 15.0          | L          | 5          
