#
# Generated by M. Cushing, Mon Sep 25 11:37:55 2017
#
# Line list for the Lp3 mode of iSHELL.
#
#==============================================================================================
#Order   | Vacuum Wavelength   | Species           | Fit Window    | Fit Type   | Fit N Terms
#        | (microns)           |                   | (Angstroms)   |            |            
#==============================================================================================
 126     |  4.0901405          |            Sky    |  4.0          | L          | 4          
 126     |  4.0916021          |            Sky    |  5.0          | L          | 5          
 126     |  4.0930696          |            Sky    |  7.0          | L          | 5          
 126     |  4.0945403          |            Sky    |  3.0          | L          | 5          
 126     |  4.0974963          |            Sky    |  6.0          | L          | 5          
 126     |  4.0989811          |            Sky    |  8.0          | L          | 5          
 126     |  4.1004703          |            Sky    |  4.0          | L          | 4          
 126     |  4.1019641          |            Sky    |  6.0          | L          | 5          
 126     |  4.1034618          |            Sky    |  8.0          | L          | 4          
 126     |  4.1049577          |            Sky    | 15.0          | L          | 4          
 126     |  4.1064698          |            Sky    | 10.0          | L          | 4          
 126     |  4.1095035          |            Sky    |  6.0          | L          | 5          
 127     |  4.0672994          |            Sky    | 10.0          | L          | 5          
 127     |  4.0686969          |            Sky    | 10.0          | L          | 5          
 127     |  4.0700989          |            Sky    | 10.0          | L          | 5          
 127     |  4.0715050          |            Sky    | 10.0          | L          | 5          
 127     |  4.0729148          |            Sky    | 10.0          | L          | 5          
 127     |  4.0743282          |            Sky    | 10.0          | L          | 5          
 127     |  4.0757460          |            Sky    | 10.0          | L          | 5          
 127     |  4.0771671          |            Sky    | 10.0          | L          | 5          
 127     |  4.0785918          |            Sky    | 10.0          | L          | 5          
 127     |  4.0800217          |            Sky    | 10.0          | L          | 5          
 127     |  4.0814548          |            Sky    | 10.0          | L          | 5          
 127     |  4.0828914          |            Sky    | 10.0          | L          | 5          
 127     |  4.0843330          |            Sky    | 10.0          | L          | 5          
 127     |  4.0857789          |            Sky    | 10.0          | L          | 5          
 127     |  4.0872260          |            Sky    | 10.0          | L          | 5          
 128     |  4.0258918          |            Sky    | 10.0          | L          | 5          
 128     |  4.0271675          |            Sky    | 10.0          | L          | 5          
 128     |  4.0284452          |            Sky    | 10.0          | L          | 5          
 128     |  4.0297269          |            Sky    | 10.0          | L          | 5          
 128     |  4.0310134          |            Sky    | 10.0          | L          | 5          
 128     |  4.0323045          |            Sky    | 10.0          | L          | 5          
 128     |  4.0335989          |            Sky    | 10.0          | L          | 5          
 128     |  4.0348980          |            Sky    | 10.0          | L          | 5          
 128     |  4.0356904          |            Sky    |  5.0          | L          | 5          
 128     |  4.0375115          |            Sky    | 10.0          | L          | 5          
 128     |  4.0388234          |            Sky    | 10.0          | L          | 5          
 128     |  4.0401395          |            Sky    | 10.0          | L          | 5          
 128     |  4.0414588          |            Sky    |  7.0          | L          | 5          
 128     |  4.0427782          |            Sky    |  8.0          | L          | 5          
 128     |  4.0441132          |            Sky    |  6.0          | L          | 5          
 128     |  4.0454459          |            Sky    | 10.0          | L          | 5          
 128     |  4.0467833          |            Sky    | 10.0          | L          | 5          
 128     |  4.0481239          |            Sky    | 10.0          | L          | 5          
 128     |  4.0494687          |            Sky    | 10.0          | L          | 5          
 128     |  4.0508173          |            Sky    | 10.0          | L          | 5          
 128     |  4.0521696          |            Sky    | 10.0          | L          | 5          
 129     |  4.0073934          |            Sky    | 10.0          | L          | 5          
 129     |  4.0084061          |            Sky    | 10.0          | L          | 5          
 129     |  4.0090647          |            Sky    |  8.0          | L          | 5          
 129     |  4.0098125          |            Sky    |  8.0          | L          | 5          
 129     |  4.0183611          |            Sky    |  8.0          | L          | 5          
 129     |  4.0196049          |            Sky    | 10.0          | L          | 5          
 129     |  4.0208525          |            Sky    | 10.0          | L          | 5          
 129     |  4.0221069          |            Sky    | 10.0          | L          | 5          
 129     |  4.0233667          |            Sky    | 10.0          | L          | 5          
 129     |  4.0258918          |            Sky    |  8.0          | L          | 5          
 130     |  3.9645290          |            Sky    |  7.0          | L          | 5          
 130     |  3.9662805          |            Sky    | 10.0          | L          | 5          
 130     |  3.9680571          |            Sky    | 10.0          | L          | 5          
 130     |  3.9698228          |            Sky    | 10.0          | L          | 5          
 130     |  3.9816031          |            Sky    | 10.0          | L          | 5          
 131     |  3.9349001          |            Sky    | 15.0          | L          | 5          
 131     |  3.9364483          |            Sky    | 10.0          | L          | 5          
 131     |  3.9380080          |            Sky    | 10.0          | L          | 5          
 131     |  3.9395790          |            Sky    | 10.0          | L          | 5          
 131     |  3.9411619          |            Sky    |  4.0          | L          | 4          
 131     |  3.9427552          |            Sky    |  3.0          | L          | 4          
 131     |  3.9443613          |            Sky    | 10.0          | L          | 5          
 131     |  3.9459778          |            Sky    | 10.0          | L          | 5          
 131     |  3.9476072          |            Sky    | 10.0          | L          | 4          
 131     |  3.9492472          |            Sky    | 10.0          | L          | 5          
 131     |  3.9508986          |            Sky    | 10.0          | L          | 5          
