#
# Generated by M. Cushing, Wed Sep 20 15:04:59 2017
#
# Line list for the M2 mode of iSHELL.
#
#==============================================================================================
#Order   | Vacuum Wavelength   | Species           | Fit Window    | Fit Type   | Fit N Terms
#        | (microns)           |                   | (Angstroms)   |            |            
#==============================================================================================
  99     |  5.2058654          |            Sky    | 10.0          | L          | 5          
  99     |  5.2096558          |            Sky    |  6.0          | L          | 5          
  99     |  5.2204466          |            Sky    | 10.0          | L          | 5          
  99     |  5.2211971          |            Sky    |  2.0          | L          | 5          
  99     |  5.2214022          |            Sky    |  3.0          | L          | 5          
  99     |  5.2230697          |            Sky    | 10.0          | L          | 5          
  99     |  5.2304888          |            Sky    | 10.0          | L          | 5          
 100     |  5.1539283          |            Sky    | 10.0          | L          | 5          
 100     |  5.1569676          |            Sky    | 10.0          | L          | 5          
 100     |  5.1581001          |            Sky    | 10.0          | L          | 5          
 100     |  5.1600966          |            Sky    | 10.0          | L          | 5          
 100     |  5.1625862          |            Sky    |  5.0          | L          | 5          
 100     |  5.1642575          |            Sky    |  6.0          | L          | 5          
 100     |  5.1670980          |            Sky    | 10.0          | L          | 5          
 100     |  5.1678152          |            Sky    |  6.0          | L          | 5          
 100     |  5.1684384          |            Sky    |  6.0          | L          | 5          
 100     |  5.1690283          |            Sky    |  6.0          | L          | 5          
 100     |  5.1695867          |            Sky    |  6.0          | L          | 5          
 100     |  5.1701269          |            Sky    |  6.0          | L          | 5          
 100     |  5.1749268          |            Sky    |  4.0          | L          | 5          
 100     |  5.1756721          |            Sky    | 10.0          | L          | 5          
 101     |  5.0970225          |            Sky    |  4.0          | L          | 5          
 101     |  5.1029944          |            Sky    | 10.0          | L          | 5          
 101     |  5.1052303          |            Sky    | 10.0          | L          | 5          
 101     |  5.1081491          |            Sky    | 10.0          | L          | 5          
 101     |  5.1097832          |            Sky    | 10.0          | L          | 5          
 101     |  5.1131740          |            Sky    |  5.0          | L          | 5          
 101     |  5.1221409          |            Sky    |  5.0          | L          | 5          
 101     |  5.1252379          |            Sky    | 10.0          | L          | 5          
 101     |  5.1276221          |            Sky    |  3.0          | L          | 5          
 101     |  5.1279254          |            Sky    |  5.0          | L          | 5          
 101     |  5.1301756          |            Sky    | 10.0          | L          | 5          
 102     |  5.0471172          |            Sky    | 10.0          | L          | 5          
 102     |  5.0485654          |            Sky    | 10.0          | L          | 5          
 102     |  5.0528402          |            Sky    | 10.0          | L          | 5          
 102     |  5.0565581          |            Sky    | 10.0          | L          | 5          
 102     |  5.0623951          |            Sky    |  6.0          | G          | 5          
 102     |  5.0642953          |            Sky    | 10.0          | L          | 5          
 102     |  5.0671749          |            Sky    | 10.0          | L          | 5          
 102     |  5.0713959          |            Sky    | 10.0          | L          | 5          
 103     |  4.9977474          |            Sky    |  4.0          | L          | 5          
 103     |  5.0001369          |            Sky    | 10.0          | L          | 5          
 104     |  4.9624929          |            Sky    |  5.0          | L          | 5          
